gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,points,contestedShots,contestedShots2pt,contestedShots3pt,deflections,chargesDrawn,screenAssists,screenAssistPoints,looseBallsRecoveredOffensive,looseBallsRecoveredDefensive,looseBallsRecoveredTotal,offensiveBoxOuts,defensiveBoxOuts,boxOutPlayerTeamRebounds,boxOutPlayerRebounds,boxOuts
22300017,1610612766,Charlotte,Hornets,CHA,hornets,240.000000:00,105,43,23,20,8,0,7,15,3,2,5,2,1,2,1,3
22300017,1610612748,Miami,Heat,MIA,heat,240.000000:00,111,44,28,16,18,0,8,18,0,4,4,1,4,4,1,5
22300018,1610612765,Detroit,Pistons,DET,pistons,240.000000:00,120,54,34,20,17,0,7,16,2,2,4,0,2,2,0,2
22300018,1610612737,Atlanta,Hawks,ATL,hawks,240.000000:00,126,50,35,15,18,0,10,24,1,2,3,1,3,4,2,4
22300192,1610612764,Washington,Wizards,WAS,wizards,240.000000:00,117,44,20,24,11,0,15,35,3,2,5,3,7,10,6,10
22300192,1610612742,Dallas,Mavericks,DAL,mavericks,240.000000:00,130,48,29,19,9,0,11,26,3,5,8,5,5,10,4,10
22300194,1610612755,Philadelphia,76ers,PHI,sixers,240.000000:00,107,41,16,25,15,0,10,23,3,3,6,3,6,9,6,9
22300194,1610612738,Boston,Celtics,BOS,celtics,240.000000:00,117,53,36,17,18,0,7,18,3,3,6,4,4,8,7,8
22300193,1610612737,Atlanta,Hawks,ATL,hawks,240.000000:00,114,46,26,20,13,0,12,28,1,1,2,0,4,3,2,4
22300193,1610612752,New York,Knicks,NYK,knicks,240.000000:00,116,40,23,17,8,1,2,5,4,4,8,0,3,3,1,3
22300195,1610612761,Toronto,Raptors,TOR,raptors,240.000000:00,112,36,21,15,11,0,6,12,2,3,5,0,3,3,0,3
22300195,1610612749,Milwaukee,Bucks,MIL,bucks,240.000000:00,128,43,31,12,9,0,19,43,3,2,5,0,4,3,1,4
22300197,1610612756,Phoenix,Suns,PHX,suns,240.000000:00,133,49,33,16,10,0,16,36,1,1,2,1,9,9,2,10
22300197,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240.000000:00,115,40,29,11,16,1,8,17,2,0,2,1,4,5,2,5
22300199,1610612757,Portland,Trail Blazers,POR,blazers,240.000000:00,95,37,20,17,26,0,3,7,4,0,4,1,1,2,1,2
22300199,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240.000000:00,109,62,35,27,14,0,9,21,2,4,6,1,2,3,1,3
22300198,1610612747,Los Angeles,Lakers,LAL,lakers,240.000000:00,110,34,23,11,16,1,13,28,0,4,4,1,5,6,2,6
22300198,1610612758,Sacramento,Kings,SAC,kings,240.000000:00,125,33,23,10,24,0,9,22,4,9,13,1,4,5,3,5
22300196,1610612741,Chicago,Bulls,CHI,bulls,240.000000:00,94,54,34,20,13,0,8,20,3,1,4,0,3,3,1,3
22300196,1610612753,Orlando,Magic,ORL,magic,240.000000:00,96,50,29,21,19,0,6,13,1,3,4,0,2,2,2,2
22300200,1610612748,Miami,Heat,MIA,heat,240.000000:00,122,41,22,19,13,2,3,5,1,1,2,1,2,3,2,3
22300200,1610612751,Brooklyn,Nets,BKN,nets,240.000000:00,115,43,21,22,12,0,4,7,2,1,3,0,0,0,0,0
22300037,1610612746,LA,Clippers,LAC,clippers,240.000000:00,106,47,28,19,11,0,9,21,3,6,9,0,15,14,5,15
22300037,1610612745,Houston,Rockets,HOU,rockets,240.000000:00,100,49,27,22,16,0,6,14,2,0,2,2,8,9,6,10
22300035,1610612762,Utah,Jazz,UTA,jazz,240.000000:00,128,50,34,16,11,1,11,27,3,4,7,0,1,1,1,1
22300035,1610612756,Phoenix,Suns,PHX,suns,240.000000:00,131,43,25,18,11,1,5,12,2,3,5,1,2,3,3,3
22300036,1610612757,Portland,Trail Blazers,POR,blazers,240.000000:00,95,36,20,16,15,0,3,7,5,2,7,0,1,1,0,1
22300036,1610612747,Los Angeles,Lakers,LAL,lakers,240.000000:00,107,57,34,23,26,1,6,16,3,3,6,2,8,10,9,10
22300034,1610612740,New Orleans,Pelicans,NOP,pelicans,240.000000:00,115,53,30,23,13,1,9,21,4,3,7,2,2,3,2,4
22300034,1610612743,Denver,Nuggets,DEN,nuggets,240.000000:00,110,50,39,11,14,0,11,24,5,6,11,0,5,5,5,5
22300033,1610612741,Chicago,Bulls,CHI,bulls,240.000000:00,97,34,15,19,17,0,11,24,2,1,3,0,7,5,3,7
22300033,1610612753,Orlando,Magic,ORL,magic,240.000000:00,103,46,30,16,16,1,8,14,3,2,5,0,1,1,1,1
22300032,1610612759,San Antonio,Spurs,SAS,spurs,240.000000:00,120,36,19,17,11,1,7,16,3,2,5,0,10,9,4,10
22300032,1610612758,Sacramento,Kings,SAC,kings,240.000000:00,129,34,19,15,18,0,12,28,3,4,7,1,9,8,2,10
22300030,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240.000000:00,108,45,28,17,15,0,12,25,3,0,3,1,7,8,5,8
22300030,1610612765,Detroit,Pistons,DET,pistons,240.000000:00,100,46,32,14,13,0,8,17,3,2,5,1,3,4,1,4
22300029,1610612737,Atlanta,Hawks,ATL,hawks,240.000000:00,116,41,31,10,20,2,10,25,0,3,3,0,8,6,4,8
22300029,1610612755,Philadelphia,76ers,PHI,sixers,240.000000:00,126,53,36,17,12,0,6,14,3,1,4,1,7,8,2,8
22300031,1610612761,Toronto,Raptors,TOR,raptors,240.000000:00,105,47,22,25,3,1,5,10,2,4,6,0,4,3,2,4
22300031,1610612738,Boston,Celtics,BOS,celtics,240.000000:00,108,39,22,17,10,0,5,10,2,1,3,0,11,10,5,11
22300028,1610612764,Washington,Wizards,WAS,wizards,240.000000:00,99,38,24,14,8,1,5,11,0,0,0,0,11,7,3,11
22300028,1610612752,New York,Knicks,NYK,knicks,240.000000:00,120,43,22,21,12,1,9,22,2,2,4,5,8,10,5,13
22300027,1610612766,Charlotte,Hornets,CHA,hornets,240.000000:00,99,62,30,32,15,1,14,28,2,6,8,2,9,10,4,11
22300027,1610612749,Milwaukee,Bucks,MIL,bucks,240.000000:00,130,57,44,13,19,0,8,19,4,3,7,3,13,14,6,16
22300207,1610612744,Golden State,Warriors,GSW,warriors,265.000000:00,123,61,44,17,10,1,12,31,6,5,11,7,1,8,6,8
22300207,1610612760,Oklahoma City,Thunder,OKC,thunder,265.000000:00,130,51,24,27,16,1,10,21,1,3,4,4,6,10,8,10
22300206,1610612759,San Antonio,Spurs,SAS,spurs,240.000000:00,108,62,40,22,13,0,9,20,3,3,6,4,1,5,4,5
22300206,1610612763,Memphis,Grizzlies,MEM,grizzlies,240.000000:00,120,46,24,22,20,0,15,40,2,3,5,4,5,9,5,9
22300205,1610612749,Milwaukee,Bucks,MIL,bucks,240.000000:00,132,52,27,25,11,0,9,22,2,2,4,1,8,8,4,9
22300205,1610612742,Dallas,Mavericks,DAL,mavericks,240.000000:00,125,52,26,26,5,0,21,47,2,1,3,0,8,8,2,8
22300204,1610612741,Chicago,Bulls,CHI,bulls,240.000000:00,102,57,30,27,16,1,1,2,8,3,11,1,1,2,2,2
22300204,1610612748,Miami,Heat,MIA,heat,240.000000:00,97,45,19,26,13,1,9,20,5,1,6,1,3,4,2,4
22300203,1610612740,New Orleans,Pelicans,NOP,pelicans,240.000000:00,120,37,24,13,16,1,4,8,3,1,4,0,2,2,2,2
22300203,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240.000000:00,121,39,26,13,17,0,2,5,2,1,3,2,2,4,2,4
22300202,1610612766,Charlotte,Hornets,CHA,hornets,240.000000:00,108,48,24,24,9,0,9,23,0,3,3,0,5,5,3,5
22300202,1610612752,New York,Knicks,NYK,knicks,240.000000:00,122,48,26,22,10,0,10,23,4,1,5,4,0,4,4,4
22300216,1610612747,Los Angeles,Lakers,LAL,lakers,240.000000:00,105,38,26,12,14,1,3,6,3,3,6,3,1,4,1,4
22300216,1610612745,Houston,Rockets,HOU,rockets,240.000000:00,104,48,27,21,10,2,9,23,0,3,3,2,1,2,2,3
22300214,1610612762,Utah,Jazz,UTA,jazz,290.000000:00,137,58,33,25,16,0,10,23,5,3,8,2,3,5,3,5
22300214,1610612756,Phoenix,Suns,PHX,suns,290.000000:00,140,59,33,26,13,0,8,19,5,5,10,1,3,2,2,4
22300215,1610612757,Portland,Trail Blazers,POR,blazers,240.000000:00,91,50,26,24,19,1,6,12,2,1,3,3,2,5,3,5
22300215,1610612760,Oklahoma City,Thunder,OKC,thunder,240.000000:00,134,51,30,21,14,1,9,20,2,1,3,0,11,11,4,11
